timestamp,simple-path,time
2021-06-06 12:25:50.906,/master/welcome,2636
2021-06-06 12:25:51.152,/master/welcome,204
2021-06-06 12:25:52.412,/master/sign-in,1135
2021-06-06 12:25:53.676,/master/welcome,588
2021-06-06 12:25:55.271,/master/welcome,190
2021-06-06 12:25:55.974,/master/welcome,598
2021-06-06 12:25:56.289,/master/welcome,188
2021-06-06 12:25:56.509,/master/welcome,173
2021-06-06 12:25:57.21,/master/sign-in,594
2021-06-06 12:25:58.477,/master/welcome,592
2021-06-06 12:25:58.729,/master/welcome,174
2021-06-06 12:25:59.484,/administrator/dashboard/show,584
2021-06-06 12:26:00.153,/master/welcome,197
2021-06-06 12:26:00.863,/master/welcome,595
