timestamp,test-class,test-method,time,description,result
2021-08-20 12:32:32.308,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,8802,"[1] recordIndex=0, title=null, start_date=null, end_date=null, workload=null, description=null, op_link=null, is_private=false",OK
2021-08-20 12:32:39.982,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7057,"[2] recordIndex=0, title=publico1, start_date=descripcion, end_date=2020/01/01 00:01, workload=2020/01/01 00:00, description=-0.01, op_link=null, is_private=false",OK
2021-08-20 12:32:47.177,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6810,"[3] recordIndex=0, title=publico1, start_date=descripcion, end_date=2022/01/01 00:01, workload=2020/01/01 00:00, description=-15, op_link=null, is_private=false",OK
2021-08-20 12:32:54.144,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6637,"[4] recordIndex=0, title=publico1, start_date=descripcion, end_date=2022/01/01 00:01, workload=2022/01/01 00:00, description=15, op_link=null, is_private=false",OK
2021-08-20 12:33:03.959,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,9456,"[5] recordIndex=0, title=publico1, start_date=descripcion, end_date=2022/01/01 00:01, workload=2022/01/01 00:00, description=72.01, op_link=http//www.example.com, is_private=false",OK
2021-08-20 12:33:12.573,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7694,"[6] recordIndex=0, title=publico1, start_date=descripcion, end_date=2022/01/01 00:01, workload=2022/01/04 00:00, description=70.00, op_link=hola, is_private=false",OK
2021-08-20 12:33:21.445,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,8365,"[7] recordIndex=0, title=publico1, start_date=estoesunadescripcionmuylargaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, end_date=2022/01/01 00:01, workload=2022/01/04 00:00, description=70.00, op_link=http//www.example.com, is_private=true",OK
2021-08-20 12:33:29.444,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,7569,"[8] recordIndex=0, title=publico1, start_date=descripcion, end_date=2022/01/01 00:01, workload=2022/01/04 00:00, description=70.00, op_link=http//www.example.com, is_private=false",OK
2021-08-20 12:33:36.525,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6698,"[9] recordIndex=0, title=publico1, start_date=null, end_date=2023/01/01 00:00, workload=2023/01/01 00:00, description=0.0, op_link=http//www.example.com, is_private=false",OK
2021-08-20 12:33:43.472,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6618,"[10] recordIndex=0, title=publico1, start_date=descripcion, end_date=2022/01/01 00:00, workload=2022/01/01 00:00, description=0.01, op_link=null, is_private=false",OK
2021-08-20 12:33:53.273,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,9362,"[11] recordIndex=0, title=publico1, start_date=null, end_date=2022/01/01 00:00, workload=2022/01/01 01:00, description=1.01, op_link=http//www.example.com, is_private=false",OK
