timestamp,test-class,test-method,time,description,result
2021-06-06 11:35:35.638,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1807,"[1] recordIndex=0, author=ATH-01, text=Text 1, info=http://www.example.com",OK
2021-06-06 11:35:37.658,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1820,"[2] recordIndex=0, author=ATH-01, text=Text 1, info=http://www.example.com",OK
2021-06-06 11:35:39.672,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1804,"[3] recordIndex=0, author=ATH, text=Te, info=ww.example.com",OK
