timestamp,test-class,test-method,time,description,result
2021-09-09 17:27:45.851,acme.testing.anonymous.shout.AnonymousListTest,listAll,2858,"[1] recordIndex=0, moment=2021/09/08 18:00, author=Shout_author1, text=Shout_text1, info=http://www.example.com, xomen=AAA-20210903, budgetCurrency=EUR, budgetAmount=34.00, important=true, deadline=2021/10/01 19:39",OK
2021-09-09 17:27:48.859,acme.testing.anonymous.shout.AnonymousListTest,listAll,2766,"[2] recordIndex=1, moment=2021/09/08 12:29, author=Shout_author2, text=Shout_text2, info=http://www.example.com, xomen=AAB-20210903, budgetCurrency=USD, budgetAmount=73.00, important=true, deadline=2021/10/01 19:39",OK
2021-09-09 17:27:51.815,acme.testing.anonymous.shout.AnonymousListTest,listAll,2760,"[3] recordIndex=2, moment=2021/09/08 13:19, author=Shout_author3, text=Shout_text3, info=http://www.example.com, xomen=AAC-20210903, budgetCurrency=EUR, budgetAmount=20.00, important=true, deadline=2021/10/01 19:39",OK
2021-09-09 17:27:54.777,acme.testing.anonymous.shout.AnonymousListTest,listAll,2762,"[4] recordIndex=3, moment=2021/09/08 14:09, author=Shout_author4, text=Shout_text4, info=http://www.example.com, xomen=AAD-20210903, budgetCurrency=USD, budgetAmount=10.00, important=true, deadline=2021/10/01 19:39",OK
2021-09-09 17:27:57.725,acme.testing.anonymous.shout.AnonymousListTest,listAll,2750,"[5] recordIndex=4, moment=2021/09/08 15:39, author=Shout_author5, text=Shout_text5, info=http://www.example.com, xomen=AAE-20210903, budgetCurrency=EUR, budgetAmount=9.00, important=true, deadline=2021/10/01 19:39",OK
2021-09-09 17:28:00.661,acme.testing.anonymous.shout.AnonymousListTest,listAll,2750,"[6] recordIndex=5, moment=2021/09/08 16:49, author=Shout_author6, text=Shout_text6, info=http://www.example.com, xomen=AAF-20210903, budgetCurrency=USD, budgetAmount=14.00, important=true, deadline=2021/10/01 19:39",OK
2021-09-09 17:28:03.618,acme.testing.anonymous.shout.AnonymousListTest,listAll,2776,"[7] recordIndex=6, moment=2021/09/08 16:49, author=Shout_author7, text=Shout_text7, info=http://www.example.com, xomen=AAG-20210903, budgetCurrency=GBP, budgetAmount=21.00, important=true, deadline=2021/10/01 19:39",OK
2021-09-09 17:28:15.838,acme.testing.anonymous.shout.AdministratorShowDashBoardTest,positiveDashBoardShow,4573,"[1] nPrivateTasks=4, nPublicTask=12, nFinishedTasks=6, nCurrentTasks=10, tasks=45.5 dd, 67.72 dd, 0 dd, 199 dd. (Measured in days), workloads=9 hrs. y 8 min, 15 hrs. y 51 min, 0 hrs. y 1 min, 60 hrs. y 3 min., ratioShoutsFlaggedTrue=1.00, ratioShoutsBudgetZero=0.00, averageSheetGroupByCurrency1=21.00, averageSheetGroupByCurrency2=21.00, averageSheetGroupByCurrency3=32.33, deviationSheetGroupByCurrency1=10.23, deviationSheetGroupByCurrency2=0.00, deviationSheetGroupByCurrency3=28.80",OK
2021-09-09 17:28:28.618,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5104,"[1] recordIndex=7, author=Shout_author7, text=Shout_text7, info=http://www.example7.com, xomen=AAA-20210909, budget=EUR 20.00, important=true, deadline=2021/12/10 00:00",OK
2021-09-09 17:28:33.864,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5065,"[2] recordIndex=8, author=Shout_author8, text=Shout_text8, info=http://www.example8.com, xomen=AAB-20210909, budget=GBP 20.00, important=true, deadline=2021/12/10 00:00",OK
