timestamp,test-class,test-method,time,description,result
2021-09-09 17:30:11.767,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5111,"[1] recordIndex=7, author=Shout_author7, text=Shout_text7, info=http://www.example7.com, xomen=AAA-20210909, budget=EUR 20.00, important=true, deadline=2021/12/10 00:00",OK
2021-09-09 17:30:16.998,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5031,"[2] recordIndex=8, author=Shout_author8, text=Shout_text8, info=http://www.example8.com, xomen=AAB-20210909, budget=GBP 20.00, important=true, deadline=2021/12/10 00:00",OK
2021-09-09 17:30:22.047,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4852,"[3] recordIndex=9, author=Shout_author9, text=Shout_text9, info=http://www.example9.com, xomen=AAC-20210909, budget=USD 20.00, important=false, deadline=2021/12/10 00:00",OK
2021-09-09 17:30:27.342,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5082,"[4] recordIndex=10, author=Shout_author10, text=Shout_text10, info=http://www.example10.com, xomen=AAD-20210909, budget=EUR 20.00, important=true, deadline=2021/12/10 00:00",OK
2021-09-09 17:30:32.594,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5038,"[5] recordIndex=11, author=Shout_author11, text=Shout_text11, info=http://www.example11.com, xomen=AAE-20210909, budget=EUR 20.00, important=true, deadline=2021/12/10 00:00",OK
2021-09-09 17:30:37.628,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4835,"[6] recordIndex=12, author=Shout_author12, text=Shout_text12, info=http://www.example12.com, xomen=AAF-20210909, budget=EUR 30.00, important=false, deadline=2021/12/10 00:00",OK
2021-09-09 17:30:42.641,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4812,"[7] recordIndex=13, author=Shout_author13, text=Shout_text13, info=http://www.example13.com, xomen=AAG-20210909, budget=EUR 25.00, important=false, deadline=2021/12/10 00:00",OK
2021-09-09 17:30:47.666,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4838,"[8] recordIndex=14, author=Shout_author14, text=Shout_text14, info=http://www.example14.com, xomen=AAH-20210909, budget=GBP 25.00, important=false, deadline=2021/12/10 00:00",OK
2021-09-09 17:30:52.748,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4884,"[9] recordIndex=15, author=Shout_author15, text=Shout_text15, info=http://www.example15.com, xomen=AAI-20210909, budget=GBP 25.00, important=false, deadline=2021/12/10 00:00",OK
2021-09-09 17:30:54.753,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1804,"[1] recordIndex=0, author=Shout_author1, text=Shout_text1, info=http://www.example1.com, xomen=2020/06/05, budget=GBP 16.00, important=true, deadline=2021/12/10 00:00",OK
2021-09-09 17:30:56.753,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1809,"[2] recordIndex=0, author=Shout_author2, text=Shout_text2, info=http://www.example2.com, xomen=null, budget=null, important=true, deadline=2021/05/10 00:00",OK
2021-09-09 17:30:58.741,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1795,"[3] recordIndex=0, author=Shout_author3, text=Shout_text3, info=ww.ex, xomen=-10/10/2022, budget=ETH 16.00, important=true, deadline=null",OK
2021-09-09 17:31:00.71,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1777,"[4] recordIndex=0, author=null, text=null, info=null, xomen=null, budget=null, important=null, deadline=null",OK
2021-09-09 17:31:02.72,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1819,"[5] recordIndex=0, author=Shout_author5, text=Shout_text5, info=http://www.example5.com, xomen=AAA-20170101, budget=BTC 16.00, important=true, deadline=null",OK
2021-09-09 17:31:04.771,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1842,"[6] recordIndex=0, author=Shout_author66666666666666666666666666666666666, text=Shout_text6, info=http://www.example6.com, xomen=AAA-20170101, budget=Yen 16.00, important=true, deadline=2021/12/10 00:00",OK
2021-09-09 17:31:06.771,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1791,"[7] recordIndex=0, author=Shout_author7, text=Shout_text7, info=http://www.example7.com, xomen=AAA-20170101, budget=Yen 16.00, important=true, deadline=2017/12/10 00:00",OK
2021-09-09 17:31:08.789,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1825,"[8] recordIndex=0, author=Shout_author8, text=Shout_text8, info=http://www.example8.com, xomen=null, budget=XML 100.00, important=true, deadline=2018/12/10 00:00",OK
2021-09-09 17:31:10.827,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1847,"[9] recordIndex=0, author=Shout_author9, text=Shout_text9, info=http://www.example9.com, xomen=AAA-20210910, budget=XML 100.00, important=true, deadline=2022/12/10 00:00",OK
