timestamp,test-class,test-method,time,description,result
2021-06-06 11:38:45.459,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1824,"[1] recordIndex=0, author=ATH-01, text=Text 1, info=http://www.example.com",OK
2021-06-06 11:38:47.481,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1820,"[2] recordIndex=0, author=ATH-01, text=Text 1, info=http://www.example.com",OK
2021-06-06 11:38:49.515,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1812,"[3] recordIndex=0, author=ATH, text=Te, info=ww.example.com",OK
